ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications,Cluster
3824,\Device\HarddiskVolume4\Windows\ImmersiveControlPanel\SystemSettings.exe,60,300,0,1,1746013735,1746013806,71,1746013735,41656,583,36,0,41037,41556,0,0,3546,0,0,486,34,0,12,1,47,4294956253,41600,0,0,0,0,1,15,280,0,0,2
4,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,492,0,0,1,1746013735,1746014227,492,1746013735,210,31,63,77,39,210,0,0,0,0,0,0,0,0,0,13,7959,45322014,24,0,0,0,0,440,9,178,0,0,0
4628,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013735,1746014036,300,1746013735,54,14,1,0,39,50,0,0,0,0,0,0,0,0,0,2,2444,1073689014,0,0,0,0,0,0,8,0,0,0,2
1200,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013735,1746013955,219,1746013735,9,0,1,0,8,9,0,0,0,0,0,0,0,0,0,3,4578,805204530,0,0,0,0,0,0,8,0,0,0,2
1356,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,0,260,0,1,1746013736,1746013736,0,1746013736,72,1,1,0,70,71,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,250,0,0,2
3056,\Device\HarddiskVolume4\Windows\System32\svchost.exe,397,281,0,1,1746013736,1746014159,422,1746013736,1277,0,1,0,1276,1277,0,0,203,0,0,0,0,0,0,13,19190,45323815,181,0,0,0,0,0,8,0,0,0,0
6308,\Device\HarddiskVolume4\Windows\System32\svchost.exe,398,281,0,1,1746013736,1746014134,398,1746013736,1380,84,0,0,1296,1380,0,0,353,0,0,0,34,0,8,5,6080,452906197,195,0,0,0,0,5,13,0,0,0,0
648,\Device\HarddiskVolume4\Windows\System32\dllhost.exe,0,281,0,1,1746013736,1746013744,7,1746013736,1677,0,0,0,1677,1677,0,0,1388,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,2
2508,\Device\HarddiskVolume4\Windows\System32\svchost.exe,336,281,0,1,1746013737,1746014075,337,1746013737,3977,0,1,0,3976,3977,0,0,191,0,0,0,0,0,0,7,3706,254752361,696,0,0,0,0,0,11,0,0,0,0
3520,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\135.0.3179.98\msedgewebview2.exe,362,294,0,1,1746013738,1746014101,362,1746013738,901,24,4,0,873,901,0,0,68,0,0,0,0,0,0,2,3083,1073623756,149,0,0,0,0,3,12,258,0,0,0
3216,\Device\HarddiskVolume4\Windows\System32\svchost.exe,281,281,0,1,1746013738,1746014227,488,1746013738,869,0,0,0,869,869,0,0,0,0,0,18,0,0,0,5,2378,452917048,170,0,0,0,0,0,10,0,0,0,0
2360,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\135.0.3179.98\msedgewebview2.exe,0,294,0,1,1746013738,1746013739,0,1746013738,421,1,1,0,419,420,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,13,258,0,0,2
8392,\Device\HarddiskVolume4\Windows\System32\taskhostw.exe,1,276,0,1,1746013739,1746013740,1,1746013739,839,8,0,0,831,831,0,0,400,0,0,9,0,0,10,0,0,0,48000,0,0,0,0,1,9,0,0,0,2
1084,\Device\HarddiskVolume4\Windows\System32\svchost.exe,472,281,0,1,1746013739,1746014228,489,1746013739,130,0,0,0,130,130,0,0,0,0,0,0,0,0,0,5,7995,452935459,12,0,0,0,0,0,7,0,0,0,0
4796,\Device\HarddiskVolume4\Windows\System32\SecurityHealth\10.0.27777.1008-0\SecurityHealthHost.exe,1,313,0,1,1746013739,1746013740,1,1746013739,738,0,0,0,738,738,0,0,164,0,0,0,0,0,10,0,0,0,42000,0,0,0,0,0,9,0,0,0,2
6344,\Device\HarddiskVolume4\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.2.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe,193,299,0,1,1746013739,1746013932,193,1746013739,2330,0,0,0,2330,2330,0,0,1060,0,0,0,0,0,0,1,1463,4294783330,715,0,0,0,0,0,15,0,0,0,2
4308,\Device\HarddiskVolume4\Windows\System32\backgroundTaskHost.exe,0,327,0,1,1746013739,1746013740,0,1746013739,1422,14,0,0,1408,1420,0,0,423,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,12,0,0,0,2
3248,\Device\HarddiskVolume4\Windows\System32\svchost.exe,187,281,0,1,1746013740,1746013956,216,1746013740,2292,3,9,0,2280,2292,0,0,29,0,0,0,0,0,0,2,1322,1073622509,705,0,0,8,0,0,15,199,0,0,0
8812,\Device\HarddiskVolume4\Windows\System32\smartscreen.exe,466,259,0,1,1746013740,1746014207,467,1746013740,5384,413,8,0,4963,5376,0,0,765,0,0,492,0,0,0,9,22798,143268642,682,0,0,0,0,8,10,115,0,0,0
8484,\Device\HarddiskVolume4\Windows\System32\SearchFilterHost.exe,0,319,0,1,1746013742,1746013742,0,1746013742,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2
8320,\Device\HarddiskVolume4\Windows\System32\SearchFilterHost.exe,0,319,0,1,1746013742,1746013742,0,1746013742,12,0,0,0,12,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2
8524,\Device\HarddiskVolume4\Windows\System32\SearchFilterHost.exe,0,319,0,1,1746013742,1746013742,0,1746013742,6,0,0,0,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2
8016,\Device\HarddiskVolume4\Windows\System32\SearchIndexer.exe,420,294,0,1,1746013742,1746014170,428,1746013742,2899,0,32,0,2867,2899,0,0,1433,0,0,0,0,0,1,10,25033,107463242,400,0,0,0,0,1,9,113,0,0,0
8072,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\135.0.3179.98\msedgewebview2.exe,0,294,0,1,1746013743,1746014101,357,1746013743,18,0,0,0,18,18,0,0,0,0,0,0,0,0,0,2,2704,1073621847,0,0,0,0,0,0,9,0,0,0,2
6188,\Device\HarddiskVolume4\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_525.8401.30.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,204,272,0,1,1746013745,1746014079,333,1746013745,6230,144,22,0,6064,6198,0,0,2147,0,0,0,0,0,0,5,20418,452923077,1823,0,0,0,0,2,13,209,0,0,0
4932,\Device\HarddiskVolume4\Windows\System32\svchost.exe,211,281,0,1,1746013745,1746014233,487,1746013745,328,0,5,0,323,328,0,0,198,0,0,0,0,0,0,7,9660,254719462,85,0,0,0,0,1,9,447,0,0,0
5492,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\135.0.3179.98\msedgewebview2.exe,0,294,0,1,1746013747,1746013747,0,1746013747,64,1,1,0,62,63,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,258,0,0,2
800,\Device\HarddiskVolume4\Windows\System32\wininit.exe,0,254,0,1,1746013750,1746014197,446,1746013750,22,0,2,0,20,22,0,0,0,0,0,0,0,0,0,6,6347,339670612,0,0,0,0,0,0,8,0,0,0,2
848,\Device\HarddiskVolume4\Windows\System32\winlogon.exe,0,275,0,1,1746013750,1746014197,446,1746013750,37,0,3,0,34,37,0,0,0,0,0,0,0,0,0,5,3821,452944269,0,0,0,0,0,0,8,0,0,0,2
3468,\Device\HarddiskVolume4\Windows\System32\svchost.exe,161,281,0,1,1746013758,1746014208,450,1746013758,195,13,16,0,166,195,0,0,0,0,0,0,0,0,0,8,11006,191050748,37,0,0,0,0,20,8,295,0,0,0
8244,\Device\HarddiskVolume4\Windows\System32\SearchProtocolHost.exe,0,304,0,1,1746013760,1746013760,0,1746013760,14,2,3,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,446,0,0,2
3732,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013764,1746014020,255,1746013764,76,0,0,0,76,76,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2
6212,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013772,1746013772,0,1746013772,12,2,1,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,443,0,0,2
4384,\Device\HarddiskVolume4\Windows\System32\svchost.exe,148,281,0,1,1746013776,1746013957,181,1746013776,1257,0,3,0,1254,1257,0,0,832,0,0,0,0,0,0,3,12541,805221033,486,0,0,0,0,0,9,333,0,0,2
2800,\Device\HarddiskVolume4\Windows\System32\msiexec.exe,17,254,0,1,1746013776,1746013794,18,1746013776,440,0,2,0,438,440,0,0,135,0,0,0,0,0,8,1,3905,4294951637,1411,0,0,0,0,0,12,399,0,0,2
3676,\Device\HarddiskVolume4\Windows\System32\msiexec.exe,319,254,0,1,1746013777,1746014096,319,1746013777,20102,426,109,113,19454,20089,0,0,846,0,0,507,1,0,34,2,8468,1073543087,3780,0,0,22,0,3,12,204,0,0,0
4668,\Device\HarddiskVolume4\ProgramData\Microsoft\Windows Defender\Platform\4.18.25030.2-0\NisSrv.exe,0,290,0,1,1746013778,1746014220,441,1746013778,23,0,0,0,23,23,0,0,0,0,0,0,0,0,0,7,19435,254755326,0,0,0,0,0,0,2,0,0,0,2
5240,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013778,1746014079,301,1746013778,376,0,0,0,376,376,0,0,0,0,0,0,34,0,4,2,658,1073647719,0,0,0,0,0,0,8,0,0,0,2
6252,\Device\HarddiskVolume4\Windows\System32\taskhostw.exe,11,276,0,1,1746013779,1746013790,11,1746013779,37215,2762,360,129,33964,37155,0,0,281,0,0,157,0,0,11,0,0,0,202909,0,0,0,0,9,11,296,0,0,0
7160,\Device\HarddiskVolume4\Windows\System32\sc.exe,0,233,0,1,1746013779,1746013780,0,1746013779,39,0,2,0,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,247,0,0,2
3028,\Device\HarddiskVolume4\Windows\System32\conhost.exe,0,281,0,1,1746013779,1746013780,0,1746013779,245,0,1,0,244,245,0,0,62,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,250,0,0,2
6416,\Device\HarddiskVolume4\Windows\System32\svchost.exe,2,281,0,1,1746013780,1746013790,10,1746013780,935,29,1,0,905,920,0,0,111,0,0,0,34,0,7,0,0,0,27000,0,0,0,0,3,10,0,0,0,2
7512,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,1,260,0,1,1746013780,1746013782,1,1746013780,447,5,1,0,441,442,0,0,0,0,0,1,0,0,3,0,0,0,24000,0,0,0,0,1,13,250,0,0,2
2604,\Device\HarddiskVolume4\Windows\System32\svchost.exe,292,281,0,1,1746013780,1746014073,292,1746013780,255,0,0,0,255,255,0,0,0,0,0,0,0,0,2,2,2838,1073655257,41,0,0,0,0,0,9,0,0,0,2
3512,\Device\HarddiskVolume4\Windows\System32\svchost.exe,1,281,0,1,1746013780,1746013911,130,1746013780,2443,2,4,0,2437,2443,0,0,250,0,0,0,0,0,1,1,2198,4294839480,144000,0,0,0,0,0,10,411,0,0,2
7716,\Device\HarddiskVolume4\Windows\System32\backgroundTaskHost.exe,1,327,0,1,1746013781,1746013783,1,1746013781,1461,17,0,0,1444,1459,0,0,427,0,0,0,0,0,9,0,0,0,84000,0,0,0,0,1,12,0,0,0,2
8324,\Device\HarddiskVolume4\Windows\System32\RuntimeBroker.exe,30,320,0,1,1746013782,1746013860,78,1746013782,338,0,0,0,338,338,0,0,57,0,0,8,34,0,6,2,1744,1073707887,600,0,0,0,0,0,9,0,0,0,2
7340,\Device\HarddiskVolume4\Windows\System32\svchost.exe,340,281,0,1,1746013784,1746014125,340,1746013784,711,56,8,1,646,711,0,0,0,0,0,9,0,0,0,4,30558,603948457,123,0,0,0,0,9,10,250,0,0,0
6916,\Device\HarddiskVolume4\Windows\SysWOW64\msiexec.exe,0,254,0,1,1746013784,1746013794,9,1746013784,348,0,1,0,347,348,0,0,123,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,9,250,0,0,2
6448,\Device\HarddiskVolume4\Windows\System32\svchost.exe,359,281,0,1,1746013785,1746014145,359,1746013785,2867,64,7,0,2796,2839,0,0,46,0,0,0,0,0,0,6,9058,339682927,467,0,0,0,0,2,13,251,0,0,0
7668,\Device\HarddiskVolume4\Windows\System32\consent.exe,3,263,0,1,1746013785,1746013788,3,1746013785,4812,254,3,0,4555,4811,0,0,513,0,0,718,0,0,10,0,0,0,96000,0,0,0,0,5,13,289,0,0,2
4388,\Device\HarddiskVolume4\Windows\System32\ctfmon.exe,2,290,0,1,1746013785,1746013793,7,1746013785,4301,11,4,0,4286,4301,0,0,176,0,0,0,0,0,7,0,0,0,129000,0,0,0,0,0,11,451,0,0,2
5972,\Device\HarddiskVolume4\Windows\System32\audiodg.exe,287,281,0,1,1746013786,1746014073,287,1746013786,5823,103,0,0,5720,5823,0,0,1791,0,0,0,0,0,0,7,606,254754541,1212,0,0,0,0,1,13,0,0,0,0
2236,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013786,1746014074,287,1746013786,33,0,0,0,33,33,0,0,0,0,0,0,0,0,0,2,1302,1073656618,0,0,0,0,0,0,6,0,0,0,2
3260,\Device\HarddiskVolume4\Windows\System32\sppsvc.exe,0,270,0,1,1746013787,1746013831,44,1746013787,964,13,1,0,950,952,0,0,29,0,0,18,0,0,8,1,37171,4294926964,0,0,0,0,0,1,10,400,0,0,2
6864,\Device\HarddiskVolume4\Windows\System32\RuntimeBroker.exe,311,320,0,1,1746013787,1746014213,425,1746013787,10429,56,16,0,10357,10397,0,0,5460,0,0,0,0,0,0,4,23856,603893949,2006,0,0,0,0,0,13,286,0,0,0
1368,\Device\HarddiskVolume4\Program Files (x86)\Folder Size Explorer\FolderSizeExplorer.exe,1,299,0,1,1746013791,1746013792,1,1746013791,2579,156,8,0,2415,2579,0,0,0,0,0,490,1,0,9,0,0,0,150000,0,0,0,0,7,10,115,0,0,2
8592,\Device\HarddiskVolume4\Windows\System32\SearchProtocolHost.exe,288,304,0,1,1746013794,1746014162,367,1746013794,8690,6,5,0,8679,8685,0,0,1258,0,0,0,0,0,7,7,10887,254755703,1791,0,0,0,0,0,12,357,0,0,0
1592,\Device\HarddiskVolume4\Windows\System32\backgroundTaskHost.exe,0,327,0,1,1746013812,1746013812,0,1746013812,1461,17,0,0,1444,1459,0,0,427,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,12,0,0,0,2
8044,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\135.0.3179.98\msedgewebview2.exe,0,294,0,1,1746013813,1746014096,283,1746013813,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,1,2964,4294694453,0,0,0,0,0,0,8,0,0,0,2
7672,\Device\HarddiskVolume4\Windows\System32\consent.exe,2,263,0,1,1746013816,1746013819,3,1746013816,4616,255,13,0,4348,4615,0,0,535,0,0,676,0,0,10,0,0,0,138000,0,0,0,0,6,13,269,0,0,2
8548,\Device\HarddiskVolume4\Windows\System32\ctfmon.exe,2,290,0,1,1746013816,1746013822,6,1746013816,4316,12,5,0,4299,4316,0,0,188,0,0,0,0,0,7,0,0,0,129000,0,0,0,0,0,11,474,0,0,2
6072,\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\135.0.3179.98\msedgewebview2.exe,0,294,0,1,1746013818,1746013819,0,1746013818,64,1,1,0,62,63,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,258,0,0,2
1600,\Device\HarddiskVolume4\Windows\System32\svchost.exe,0,281,0,1,1746013818,1746013907,88,1746013818,358,24,7,0,327,358,0,0,100,0,0,0,0,0,0,1,364,4294955579,0,0,0,0,0,10,9,125,0,0,2
8636,\Device\HarddiskVolume4\Windows\regedit.exe,56,263,0,1,1746013819,1746013892,72,1746013819,763,2,17,6,738,763,0,0,156,0,0,0,0,0,8,1,1613,4294947056,750,0,0,0,0,1,12,256,0,0,2
6676,\Device\HarddiskVolume4\Windows\System32\backgroundTaskHost.exe,0,327,0,1,1746013826,1746013827,0,1746013826,1422,14,0,0,1408,1420,0,0,423,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,12,0,0,0,2
