ProcessId,ProcessName,ProcessAgeSeconds,ProcessImageEntropy,SessionId,IsElevated,FirstSeenTime,LastSeenTime,OperationDurationSec,ProcessCreateTime,TotalOperationCount,CreateOperationCount,ModifyOperationCount,DeleteOperationCount,QueryOperationCount,UniqueKeysAccessed,AutorunKeysAccessed,SecurityKeysAccessed,FileAssocKeysAccessed,NetworkingKeysAccessed,ServicesKeysAccessed,SensitiveKeysAccessed,ProcessHijackKeysAccessed,DllHijackKeysAccessed,ComObjectKeysAccessed,OperationBurstCount,MaxOperationsPerBurst,BurstIntervalMs,OperationDensityPerMin,TimingVariance,RemoteOperationCount,FileExtensionModificationCount,SecuritySettingModificationCount,WritesToReadsRatio,RegistryKeyDepthMax,RegistryValueEntropyAvg,ComRegistryModifications,CriticalSystemKeyModifications,IS_MALWARE
7428,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1746196480,1746196480,0,1746196480,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0
7440,\Device\HarddiskVolume3\Program Files\Mozilla Firefox\pingsender.exe,0,264,0,1,1746196480,1746196480,0,1746196480,1288,36,11,0,1241,1281,0,0,0,0,0,64,0,0,3,0,0,0,0,0,0,0,0,4,11,119,0,0,0
7472,\Device\HarddiskVolume3\Windows\System32\conhost.exe,0,281,0,1,1746196480,1746196480,0,1746196480,152,0,0,0,152,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0
1280,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1746196481,1746196481,0,1746196481,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
5156,\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe,0,294,0,1,1746196482,1746196484,1,1746196482,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
7588,\Device\HarddiskVolume3\Windows\System32\SearchProtocolHost.exe,0,304,0,1,1746196484,1746196485,0,1746196484,1082,2,0,0,1080,1081,0,0,433,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0
7612,\Device\HarddiskVolume3\Windows\System32\svchost.exe,1,281,0,1,1746196484,1746196485,1,1746196484,779,105,0,0,674,779,0,0,0,0,0,0,27,0,3,0,0,0,42000,0,0,0,0,13,10,0,0,0,0
7580,\Device\HarddiskVolume3\Users\wineleven\AppData\Local\Programs\Python\Python313\python.exe,0,290,0,1,1746196484,1746196485,1,1746196484,53,0,0,0,53,53,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0
7724,\Device\HarddiskVolume3\Windows\System32\WerFault.exe,0,275,0,1,1746196485,1746196485,0,1746196485,494,70,0,0,424,494,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,10,0,0,0,0
868,\Device\HarddiskVolume3\Windows\System32\services.exe,14,258,0,1,1746196463,1746196478,15,1746196463,383,0,0,0,383,383,0,0,0,0,0,0,24,0,0,0,0,0,1285,0,0,0,0,0,9,0,0,0,0
1664,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,31,290,0,1,1746196464,1746196495,31,1746196464,5217,0,0,0,5217,5217,0,0,802,0,0,0,0,0,0,0,0,0,10064,0,0,0,0,0,13,0,0,0,0
4828,\Device\HarddiskVolume3\Windows\explorer.exe,28,250,0,1,1746196464,1746196494,29,1746196464,7727,267,89,3,7368,7614,0,0,3245,0,0,0,0,0,0,0,0,0,16500,0,0,0,0,4,14,171,0,0,0
888,\Device\HarddiskVolume3\Windows\System32\lsass.exe,0,255,0,1,1746196464,1746196494,30,1746196464,94,0,0,0,94,94,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
1524,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1746196464,1746196494,30,1746196464,21,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2252,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,26,323,0,1,1746196464,1746196494,29,1746196464,213,0,0,0,213,213,0,0,100,0,0,0,0,0,0,1,98,4294955172,461,0,0,0,0,0,9,0,0,0,0
636,\Device\HarddiskVolume3\Windows\System32\svchost.exe,26,281,0,1,1746196464,1746196494,29,1746196464,1474,24,0,0,1450,1474,0,0,787,0,0,0,0,0,24,1,170,4294955198,3230,0,0,0,0,1,12,0,0,0,0
2476,\Device\HarddiskVolume3\Windows\System32\ctfmon.exe,28,290,0,1,1746196464,1746196493,28,1746196464,6519,6,6,0,6507,6519,0,0,510,0,0,0,0,0,0,1,32,4294955037,13928,0,0,0,0,0,9,474,0,0,0
2080,\Device\HarddiskVolume3\Windows\System32\svchost.exe,15,281,0,1,1746196466,1746196481,15,1746196466,452,4,0,0,448,450,0,0,0,0,0,0,0,0,0,1,114271,0,1600,0,0,0,0,1,9,0,0,0,0
6764,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1746196467,1746196467,0,1746196467,17,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
724,\Device\HarddiskVolume3\Windows\System32\csrss.exe,27,255,0,1,1746196467,1746196495,28,1746196467,195,0,0,0,195,195,0,0,0,0,0,0,0,0,0,1,5567,4294952853,222,0,0,0,0,0,11,0,0,0,0
6724,\Device\HarddiskVolume3\Users\wineleven\Desktop\NativeExamples.exe,3,316,0,1,1746196467,1746196471,3,1746196467,2103,4,0,0,2099,2103,0,0,1560,0,0,0,0,0,13,0,0,0,42000,0,0,0,0,0,8,0,0,0,0
3120,\Device\HarddiskVolume3\Windows\System32\svchost.exe,3,281,0,1,1746196467,1746196490,22,1746196467,29508,9456,0,0,20052,29498,0,0,12,0,0,0,0,0,0,1,1362,4294950627,590000,0,0,0,0,47,8,0,0,0,0
1020,\Device\HarddiskVolume3\Windows\System32\svchost.exe,23,281,0,1,1746196467,1746196491,23,1746196467,1266,80,30,0,1156,1252,0,0,221,0,0,65,12,0,6,1,157,4294954862,3130,0,0,0,0,8,16,266,0,0,0
652,\Device\HarddiskVolume3\Windows\System32\csrss.exe,0,255,0,1,1746196467,1746196478,10,1746196467,86,0,0,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
5644,\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe,0,291,0,1,1746196467,1746196468,0,1746196467,675,18,15,4,638,674,0,0,395,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,346,0,0,0
4468,\Device\HarddiskVolume3\Windows\System32\dllhost.exe,9,281,0,1,1746196469,1746196478,9,1746196469,1466,0,0,0,1466,1466,0,0,1301,0,0,0,0,0,0,0,0,0,9333,0,0,0,0,0,8,0,0,0,0
1876,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196469,1746196470,1,1746196469,78,2,2,0,74,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,425,0,0,0
4284,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,0,276,0,1,1746196469,1746196470,0,1746196469,123,1,3,0,119,123,0,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,457,0,0,0
3216,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,7,311,0,1,1746196470,1746196477,7,1746196470,1032,7,3,0,1022,1028,0,0,87,0,0,0,0,0,0,0,0,0,8571,0,0,0,0,1,13,306,0,0,0
992,\Device\HarddiskVolume3\Windows\System32\sihost.exe,20,280,0,1,1746196470,1746196491,20,1746196470,1962,4,0,0,1958,1962,0,0,1185,0,0,0,0,0,0,1,52,4294955301,5700,0,0,0,0,0,13,0,0,0,0
3256,\Device\HarddiskVolume3\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,7,289,0,1,1746196470,1746196477,7,1746196470,841,32,4,2,803,809,0,0,12,0,0,0,0,0,0,0,0,0,6857,0,0,0,0,4,13,306,0,0,0
1804,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196470,1746196491,20,1746196470,93,0,0,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
4400,\Device\HarddiskVolume3\Windows\System32\svchost.exe,17,281,0,1,1746196470,1746196488,17,1746196470,126,0,0,0,126,126,0,0,0,0,0,0,0,0,0,1,113632,4294956514,352,0,0,0,0,0,12,0,0,0,0
1300,\Device\HarddiskVolume3\Windows\System32\dwm.exe,0,235,0,1,1746196470,1746196491,20,1746196470,18,0,0,0,18,18,0,0,0,0,0,0,0,0,0,1,23,4294953937,0,0,0,0,0,0,7,0,0,0,0
4,,0,0,0,1,1746196477,1746196491,14,1746196477,16,3,6,4,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,193,0,0,0
2208,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196477,1746196478,1,1746196477,365,0,0,0,365,365,0,0,156,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
3436,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,14,316,0,1,1746196477,1746196491,14,1746196477,3353,14,12,2,3325,3353,0,0,2123,0,0,0,0,0,9,1,112,4294956186,14142,0,0,0,0,0,13,118,0,0,0
2812,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196477,1746196477,0,1746196477,32,0,0,0,32,32,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
3764,\Device\HarddiskVolume3\Windows\System32\taskhostw.exe,0,276,0,1,1746196477,1746196491,13,1746196477,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,1,293,4294954890,0,0,0,0,0,0,9,0,0,0,0
6412,\Device\HarddiskVolume3\Windows\System32\svchost.exe,13,281,0,1,1746196477,1746196491,13,1746196477,315,43,2,0,270,287,0,0,0,0,0,0,34,0,4,1,178,4294953547,1384,0,0,0,0,16,8,237,0,0,0
3936,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.1.29.0_x64__8wekyb3d8bbwe\Time.exe,11,231,0,1,1746196477,1746196491,13,1746196477,3362,5,1,0,3356,3362,0,0,667,0,0,0,0,0,8,0,0,0,18000,0,0,0,0,0,13,258,0,0,0
3876,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196477,1746196478,1,1746196477,12,0,1,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,0,0,0
2528,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196478,1746196479,0,1746196478,377,8,0,0,369,377,0,0,97,0,0,0,34,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0
1392,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196478,1746196478,0,1746196478,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1860,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196478,1746196478,0,1746196478,52,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2844,\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe,9,320,0,1,1746196478,1746196488,9,1746196478,7440,534,0,0,6906,7432,0,0,291,0,0,0,34,0,8,0,0,0,49333,0,0,0,0,7,12,0,0,0,0
5516,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196479,1746196479,0,1746196479,4600,190,0,0,4410,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0
2744,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196479,1746196479,0,1746196479,16,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
5116,\Device\HarddiskVolume3\Windows\System32\svchost.exe,9,281,0,1,1746196479,1746196488,9,1746196479,150199,11869,0,0,138330,150192,0,0,78,0,0,0,0,0,2,0,0,0,1000666,0,0,0,0,8,11,0,0,0,0
2272,\Device\HarddiskVolume3\Windows\System32\svchost.exe,13,281,0,1,1746196479,1746196492,13,1746196479,5375,33,7,0,5335,5375,0,0,0,0,0,0,0,0,0,1,1124,4294955320,24461,0,0,0,0,0,8,125,0,0,0
2024,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196487,1746196488,0,1746196487,58,4,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
1280,\Device\HarddiskVolume3\Windows\System32\cmd.exe,0,235,0,1,1746196495,1746196495,0,1746196495,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
4440,\Device\HarddiskVolume3\Users\wineleven\AppData\Local\Programs\Python\Python313\python.exe,0,290,0,1,1746196495,1746196495,0,1746196495,53,0,0,0,53,53,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0
868,\Device\HarddiskVolume3\Windows\System32\services.exe,41,258,0,1,1746196458,1746196500,42,1746196458,674,0,0,0,674,674,0,0,0,0,0,0,24,0,0,1,632,4294957239,878,0,0,0,0,0,9,0,0,0,0
1664,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,42,290,0,1,1746196458,1746196500,42,1746196458,7487,2,0,0,7485,7486,0,0,1034,0,0,0,0,0,0,0,0,0,10571,0,0,0,0,0,12,0,0,0,0
4828,\Device\HarddiskVolume3\Windows\explorer.exe,41,250,0,1,1746196458,1746196500,42,1746196458,40779,710,109,2,39958,40298,0,0,9247,0,0,0,0,0,0,0,0,0,59560,0,0,0,0,2,13,335,0,0,0
5424,\Device\HarddiskVolume3\Users\wineleven\Desktop\NativeExamples.exe,0,316,0,1,1746196459,1746196459,0,1746196459,639,2,0,0,637,639,0,0,509,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0
3120,\Device\HarddiskVolume3\Windows\System32\svchost.exe,0,281,0,1,1746196459,1746196489,30,1746196459,2069,639,0,0,1430,2069,0,0,0,0,0,0,0,0,0,1,4195,4294940488,0,0,0,0,0,44,6,0,0,0,0
888,\Device\HarddiskVolume3\Windows\System32\lsass.exe,26,255,0,1,1746196459,1746196500,40,1746196459,495,20,8,0,467,487,0,0,0,0,0,296,0,0,0,0,0,0,923,0,0,0,0,1,10,106,0,0,0
1524,\Device\HarddiskVolume3\Windows\System32\VBoxService.exe,0,266,0,1,1746196459,1746196499,40,1746196459,27,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
3216,\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,3,311,0,1,1746196460,1746196463,3,1746196460,1755,8,4,0,1743,1751,0,0,206,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,13,427,0,0,0
992,\Device\HarddiskVolume3\Windows\System32\sihost.exe,26,280,0,1,1746196460,1746196496,36,1746196460,2583,30,0,0,2553,2583,0,0,862,0,0,0,0,0,0,0,0,0,5769,0,0,0,0,1,13,0,0,0,0
1020,\Device\HarddiskVolume3\Windows\System32\svchost.exe,36,281,0,1,1746196460,1746196496,36,1746196460,1435,98,30,3,1304,1419,0,0,68,0,0,39,0,0,2,1,39,4294951984,2333,0,0,0,0,10,16,256,0,0,0
2252,\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.11141.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,40,323,0,1,1746196460,1746196501,40,1746196460,402,0,0,0,402,402,0,0,112,0,0,0,0,0,0,1,7996,4294935181,600,0,0,0,0,0,12,0,0,0,0
3256,\Device\HarddiskVolume3\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,31,289,0,1,1746196460,1746196492,31,1746196460,1028,35,5,2,986,996,0,0,37,0,0,0,0,0,0,1,224,4294939562,1935,0,0,0,0,4,13,309,0,0,0
2476,\Device\HarddiskVolume3\Windows\System32\ctfmon.exe,39,290,0,1,1746196460,1746196500,39,1746196460,21313,18,18,0,21277,21313,0,0,748,0,0,0,0,0,0,0,0,0,32769,0,0,0,0,0,9,474,0,0,0
1804,\Device\HarddiskVolume3\Windows\System32\svchost.exe,25,281,0,1,1746196460,1746196494,34,1746196460,177,0,0,0,177,177,0,0,12,0,0,0,0,0,0,1,786,4294956099,240,0,0,0,0,0,7,0,0,0,0
4400,\Device\HarddiskVolume3\Windows\System32\svchost.exe,34,281,0,1,1746196460,1746196494,34,1746196460,648,0,0,0,648,648,0,0,39,0,0,0,0,0,0,1,514,4294956037,1058,0,0,0,0,0,13,0,0,0,0
1300,\Device\HarddiskVolume3\Windows\System32\dwm.exe,0,235,0,1,1746196460,1746196494,34,1746196460,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,1,158,4294933316,0,0,0,0,0,0,7,0,0,0,0
